run_id,model_type,method,repetition,seed,constraint,sense,lhs,rhs,slack,violation
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,budget,=,1.0,1.0,-0.0,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_lower:Asset_000,>=,1.4857981665710964e-16,0.0,1.4857981665710964e-16,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_upper:Asset_000,<=,1.4857981665710964e-16,0.2,0.19999999999999987,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_lower:Asset_001,>=,1.7151558880905268e-16,0.0,1.7151558880905268e-16,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_upper:Asset_001,<=,1.7151558880905268e-16,0.2,0.19999999999999984,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_lower:Asset_002,>=,2.5555900604808315e-16,0.0,2.5555900604808315e-16,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_upper:Asset_002,<=,2.5555900604808315e-16,0.2,0.19999999999999976,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_lower:Asset_003,>=,-1.1666300473634393e-17,0.0,-1.1666300473634393e-17,1.1666300473634393e-17
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_upper:Asset_003,<=,-1.1666300473634393e-17,0.2,0.2,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_lower:Asset_004,>=,7.740108432776258e-17,0.0,7.740108432776258e-17,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_upper:Asset_004,<=,7.740108432776258e-17,0.2,0.19999999999999993,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_lower:Asset_005,>=,-1.4529841657601018e-18,0.0,-1.4529841657601018e-18,1.4529841657601018e-18
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_upper:Asset_005,<=,-1.4529841657601018e-18,0.2,0.2,0.0
continuous__scipy_slsqp__rep000__seednone,continuous,scipy_slsqp,0,,asset_lower:Asset_006,>=,5.0028847377198843e-17,0.0,5.0028847377198843e-17,0.0
